UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,operational_hours,RUL,Vibration (mm/s),Pressure (Pa),Maintenance Required,Temp_Change,Vib_Change,Temperature_Mean,Vibration_Mean,Pressure_Mean,RPM_Mean
377,L48302,L,296.5,307.6,1541,38.5,98,0,No Failure,1781,3132.368121,-0.029916254,0.374205276,1,0.270121016,-0.57585238,0.829496124,-0.161989107,-0.085281667,-0.200554362
378,L48303,H,296.6,307.7,1386,62.3,100,1,Power Failure,4770,216.3031237,1.406247083,-0.549538022,0,-2.080982215,1.014537249,0.581442701,0.065386196,0.080078359,-0.278609621
379,L48304,M,296.7,307.8,1258,69,105,1,Power Failure,949,3971.909984,-0.75781634,0.553712129,0,1.270995705,-1.528781747,0.59353103,-0.273049354,0.059806912,-0.104948217
380,L48305,M,296.7,307.8,1375,51.4,108,0,No Failure,3526,1462.903402,-0.960798771,-0.68881251,0,0.896886198,-0.143409416,0.560621172,-0.298734268,0.058512338,-0.317868183
381,L48306,L,296.8,307.9,1706,30.8,111,0,No Failure,2993,1979.395629,-0.467661253,-0.11597521,0,-0.024704716,0.348352689,-0.127384666,0.11868808,0.418048235,0.058552147
382,L48307,M,296.7,307.8,1672,32.4,113,0,No Failure,2813,2143.002909,1.10696026,1.201005406,0,-0.939441895,1.112348674,-0.672424682,0.058655615,0.454135087,-0.419016713
383,L48308,M,296.8,307.9,1843,25.2,116,0,No Failure,4850,151.6692391,-0.285930664,-0.650895256,1,-1.16109239,-0.984000044,-0.428704009,-0.090331182,0.479386203,-0.373292035
384,L48309,L,296.7,307.9,1690,29.6,119,0,No Failure,2906,2094.001825,-0.886240913,0.547239258,0,1.111877166,-0.424094899,-0.288868854,-0.241188173,0.501663856,-0.445343043
385,L48310,L,296.8,307.9,1413,46.5,121,0,No Failure,2258,2738.40399,1.126312973,1.108866975,0,-1.419605171,1.421718555,-0.250737589,0.012417843,0.461784874,-0.293389315
386,L48311,L,296.8,307.9,1489,33.4,123,0,No Failure,2987,1947.369649,-0.767823579,0.064459052,1,0.480838144,-1.338096497,-0.058141108,0.096628892,0.218500217,-0.179308552
387,L48312,L,296.8,307.9,1271,61.4,125,0,No Failure,4214,791.9912894,0.362026272,1.327260986,1,1.849702571,0.798147293,0.459219711,0.301649463,-0.03775612,0.022064778
388,L48313,M,296.8,307.9,1418,47.9,127,0,No Failure,127,4801.945879,-1.040215616,-0.53950699,1,-1.528442997,-0.990605873,0.302014129,0.547557566,-0.055007553,-0.156677146
389,L48314,M,296.9,307.8,1426,50.7,130,0,No Failure,4630,295.9360194,0.381789167,0.347844347,0,0.752241039,1.004535179,0.301468787,0.409818053,-0.215384401,0.132912482
390,L48315,L,296.9,307.9,1535,39.2,133,0,No Failure,4915,35.75360106,1.547368213,-0.107556309,1,-0.873399198,0.823387576,0.407420438,0.216347915,-0.527874638,-0.244431578
391,L48316,L,296.9,307.8,1557,38.1,135,0,No Failure,1115,3848.253168,0.257279278,-1.216822635,1,1.629240533,-0.911377327,0.288120351,-0.236574395,-0.735748593,-0.423173502
392,L48317,L,296.9,307.8,1653,29.7,137,0,No Failure,3066,1930.294714,1.591566786,1.241003819,0,-0.535638352,0.942568802,-0.095631032,-0.13414524,-0.827258874,-0.332186011
393,L48318,L,296.9,307.9,1435,41.6,139,0,No Failure,521,4433.456519,-1.728913181,-1.341391227,0,-0.974475171,-2.345712557,-0.446111004,-0.768390551,-1.165836322,0.098272574
394,L48319,M,297,307.9,1569,33.3,141,0,No Failure,2199,2759.174376,-0.585561519,-1.214606839,1,1.128826108,0.807685418,-0.201509454,-0.471458989,-1.195755661,0.00359016
395,L48320,M,296.9,307.9,1385,44.8,144,0,No Failure,4751,252.6675945,-0.71724334,-1.146926085,0,-1.669914094,-0.093040312,-0.677700695,-0.674998292,-1.125449596,0.297798442
396,L48321,L,297,307.9,1635,31.6,147,0,No Failure,1335,3657.186729,0.769425052,-1.674374038,0,0.694111692,1.050215687,-0.478150822,-0.558152799,-0.683988734,0.413264801
397,L48322,L,296.9,307.9,1423,43.9,149,0,No Failure,1571,3376.646697,-1.579659769,-0.451883421,1,-0.417986989,-1.659486968,-0.558057183,-0.725004218,-0.129862994,0.189260065
398,L48323,L,297,307.9,1479,39.2,151,0,No Failure,4572,391.331383,-0.244255369,-1.490987924,0,1.129798483,0.943357811,-0.361087872,-0.522058654,-0.25453419,0.147692176
399,L48324,L,297,307.9,1296,69.1,153,1,Power Failure,1219,3755.557448,-1.603258036,-0.86307651,0,-1.419976405,-0.960060261,-0.591702761,-0.609303208,-0.214320493,0.234984743
400,L48325,L,297,307.8,1553,33.3,155,0,No Failure,2874,2075.912186,-0.133015875,1.060378225,0,0.719580738,1.038611655,-0.174473411,-0.418612114,-0.186798092,0.44374792
401,L48326,L,297,307.9,1529,42.2,157,0,No Failure,715,4251.9744,-0.064832039,1.096254662,0,-0.29407626,0.048151384,-0.431767717,-0.113873393,-0.63860785,0.588773666
402,L48327,M,297.1,308,1690,25.6,159,0,No Failure,4775,216.7669037,-0.564931953,-1.075239403,1,0.561075814,-0.353303011,-0.184912787,0.003394093,-1.033961001,0.468688653
403,L48328,L,297.1,308,1348,58,162,0,No Failure,2769,2204.673621,-0.680478137,-1.289919436,0,-0.382186237,-0.081641566,-0.375420766,0.127738462,-0.690152678,0.22112878
404,L48329,L,297.2,308.1,1446,38.5,164,0,No Failure,4783,131.4159286,-0.649802568,-0.72546451,0,0.870872014,0.021654306,-0.431507341,0.063798759,-0.315712218,0.378163028
405,L48330,L,297.1,307.9,1456,50,166,0,No Failure,4162,795.7976541,1.390677731,-1.198670565,1,-1.665609028,1.441446694,-0.366677517,0.417789823,-0.108989593,0.149077772
406,L48331,L,297,307.9,1350,47.7,168,0,No Failure,2951,2032.336703,0.521505394,-0.880511092,0,1.488650835,-0.61402795,0.276467991,0.356881117,0.430914176,0.068713186
407,L48332,L,297.1,307.9,1507,38.3,170,0,No Failure,4850,151.6692391,0.056789889,0.643802211,1,-0.985487494,-0.328306297,0.057177027,-0.068063214,0.327547023,0.071022514
408,L48333,H,297,307.9,1448,45.6,172,0,No Failure,4724,276.2290145,-1.000176652,0.582282865,0,0.093142623,-0.746691974,0.469066137,-0.30192586,0.361077176,-0.079545618
409,L48334,L,296.9,307.9,1626,29.9,177,0,No Failure,707,4287.806384,1.120152754,0.308148616,1,1.298445687,1.497854739,0.355275862,0.128488546,0.350811839,-0.340961454
410,L48335,H,297,307.9,1846,27.3,179,0,No Failure,340,4652.312343,1.086134202,1.500848283,0,0.379378779,-0.024047755,0.240410839,-0.228749721,0.557502598,-0.090630389
411,L48336,H,297,307.8,1404,40.7,184,0,No Failure,781,4145.51717,-1.603216264,-1.397346859,0,-1.5610193,-1.89986185,0.099113643,-0.209572468,0.113512848,-0.079083753
412,L48337,L,297,307.8,1583,37.2,189,0,No Failure,1098,3822.863268,-1.112523339,0.811452977,0,1.246434604,0.346625749,-0.011812565,0.320617787,0.253978708,0.168937986
413,L48338,L,297,307.9,1436,47.7,191,0,No Failure,4386,523.633972,1.151895377,0.530956181,1,-1.765717448,1.599644182,-0.288694373,0.60549883,0.281023888,0.161548139
414,L48339,L,297,307.8,1609,35.6,193,0,No Failure,4691,310.7923272,-0.66603858,1.341602408,0,1.294645264,-1.284264469,0.256164988,0.040100546,0.125664108,0.229442358
415,L48340,H,297,307.7,1834,23.8,195,0,No Failure,2822,2181.639753,1.182020464,-0.719100467,0,0.285911707,1.30551397,-0.110247032,-0.077354354,-0.096700208,0.132450617
416,L48341,L,297,307.8,1316,61.2,200,1,Overstrain Failure,4937,9.043425852,1.047735013,-0.695017557,0,-1.453624146,-0.094879602,-0.616572304,-0.218269593,-0.151279284,0.201730432
417,L48342,L,296.9,307.8,1400,57.1,202,1,Overstrain Failure,2543,2437.180218,0.311881876,0.946678876,0,0.659597365,-0.519846868,-0.316337695,-0.513559584,0.281111853,-0.023198035
418,L48343,L,296.9,307.9,1367,47.1,204,0,No Failure,2660,2306.842729,-1.675096042,-0.24584272,0,1.140049622,-1.403682702,-0.309754786,-0.9171529,0.19529965,0.561985471
419,L48344,L,297.1,308.1,1754,30.3,206,0,No Failure,3636,1292.75285,-1.253313081,0.229780827,1,-1.927710475,0.297945475,-0.374704045,-0.364004636,0.1642717,0.761511339
420,L48345,L,297.1,308.1,1487,34.6,208,0,No Failure,4016,917.4293776,0.47744427,-0.991995845,1,-0.208836925,1.222648183,0.191681718,-0.010611385,-0.050842813,0.726871431
421,L48346,M,297.1,308.1,1506,37.7,210,0,No Failure,3954,1052.457444,-0.428714945,1.466938126,1,1.398460222,-0.640156702,0.385841124,0.058417375,0.05116129,0.643273788
422,L48347,L,297,308.1,1362,52.5,213,1,Overstrain Failure,1024,3924.066926,-1.7060847,0.517617862,0,-0.378787313,-0.902392078,0.246170688,0.147168575,0.090410446,0.871897178
423,L48348,L,297.1,308.1,1584,36.8,215,0,No Failure,1348,3577.415292,1.090645279,-0.400982472,0,0.887104012,1.975686426,0.281223166,0.367655093,0.258635211,0.915312529
424,L48349,L,297,308.1,1355,43.7,217,0,No Failure,4156,775.7438989,0.51365317,-0.845791735,0,0.304759541,-0.407622195,0.135779892,-0.143831136,0.419362797,0.672833175
425,L48350,M,297.1,308.1,1823,24.3,219,0,No Failure,4412,496.1129027,0.82258807,-0.48197533,0,-1.525070228,0.218225881,0.177504113,-0.526101826,0.306221625,0.432663149
426,L48351,H,297,308.1,1517,41.4,222,0,No Failure,372,4587.093566,0.015041057,1.663183906,1,0.218001219,-0.570493788,0.452571642,-0.634948947,0.72137226,0.017446123
427,L48352,L,297.1,308.1,1446,36.6,227,0,No Failure,4404,501.6922059,-0.603652112,1.358741685,1,0.239052108,-0.4370812,0.453362208,-0.781311319,0.19382435,0.166628659
428,L48353,H,297.1,308,1559,38.8,229,0,No Failure,3361,1563.030666,-1.466785863,0.402655457,1,0.248851201,-0.609762094,0.299652184,-0.860593909,0.146711151,0.011903738
429,L48354,M,297.1,308.1,1352,44.4,0,0,No Failure,1981,2987.444697,-1.39770028,-1.411497592,1,0.966604371,0.048788409,0.545910984,-0.602700648,0.004686512,0.209120279
430,L48355,M,297.2,308.3,1578,37.8,3,0,No Failure,298,4611.346217,0.278352464,1.593777846,1,-0.69994265,1.184003042,-0.040113573,-0.196021422,0.054678957,0.356917218
431,L48356,M,297.2,308.3,1429,42,6,0,No Failure,2856,2104.078922,-0.716770804,-0.974555645,1,-0.751872265,-0.703003844,-0.024269249,-0.588915709,-0.394351553,0.855270022
432,L48357,M,297.2,308.3,1604,39.4,9,0,No Failure,373,4572.99804,-1.000065061,1.123175691,0,-0.307278951,-0.20014434,0.345903121,-0.771958777,-0.399721821,0.53981593
433,L48358,L,297.3,308.5,1398,60.4,12,0,No Failure,2138,2779.347881,-0.177319558,-0.307467739,1,1.663184912,0.581198647,0.622850568,-0.617807551,-0.7923259,0.642350057
434,L48359,L,297.3,308.4,1441,43.4,14,0,No Failure,714,4285.083772,0.635695849,-1.161535369,0,-1.976441037,0.574324986,0.26253979,-0.245445401,-0.899285445,0.319044252
435,L48360,H,297.3,308.4,1531,35.6,16,0,No Failure,2159,2827.327081,-1.686118973,-0.651374704,0,1.428331853,-1.640222541,0.30636701,-0.230960521,-0.570442558,0.020679181
436,L48361,L,297.2,308.3,1379,52.1,21,0,No Failure,4937,9.043425852,-1.631986144,-1.001406982,1,0.501070637,0.038225289,0.062652995,0.415252987,-0.318758381,-0.391304787
437,L48362,L,297.3,308.3,1410,48.1,23,0,No Failure,1189,3729.377345,-0.229308927,-0.839844703,0,-0.636932517,0.990881549,-0.088306756,0.451018252,0.012243693,0.031763952
438,L48363,L,297.3,308.4,1513,40.5,25,0,No Failure,579,4400.650133,1.68449119,-0.842265465,1,-0.590230199,1.351955633,-0.098759772,0.690991379,0.468296226,-0.035206536
439,L48364,L,297.3,308.5,1497,47.5,27,0,No Failure,1478,3446.86046,0.708120251,0.482679067,1,-0.547364669,-0.689756581,0.250049198,0.593976548,0.822788646,-0.244893444
440,L48365,L,297.3,308.4,1491,46.5,29,0,No Failure,1412,3519.857137,1.544948564,0.607046177,0,0.411554449,0.591147209,0.711425734,0.647546686,0.840558259,0.102429363
441,L48366,L,297.3,308.4,1417,47.8,31,0,No Failure,3088,1887.360823,-1.453159819,0.653603388,1,0.829059911,-2.117978631,1.021378755,0.534789025,1.015850178,0.583693147
442,L48367,M,297.4,308.6,1522,38,33,0,No Failure,4686,305.5558471,0.970556707,1.44041796,1,-0.140085265,1.712177413,1.162705637,0.614538199,1.184065676,0.307497616
443,L48368,L,297.3,308.4,1339,52.1,36,0,No Failure,2258,2738.40399,1.199417037,0.930196637,0,0.68015966,0.161658562,0.904894418,0.575125462,0.615958467,-0.057837943
444,L48369,M,297.2,308.3,1794,27.5,38,0,No Failure,2085,2843.955035,0.975970943,0.571527133,1,-0.149313382,-0.157865623,0.519105344,0.097515897,0.154059819,0.058090281
445,L48370,L,297.2,308.4,1460,42.1,41,0,No Failure,4817,139.550497,0.981160258,1.483505771,1,-0.123895741,0.003649976,0.182699814,-0.138363479,0.070386717,-0.337266531
446,L48371,M,297.2,308.3,1776,28,43,0,No Failure,2988,1941.948065,-1.054413949,1.49468088,1,0.232779353,-1.438012724,0.006057563,-0.587088672,-0.484627436,-0.781581079
447,L48372,M,297.2,308.3,1431,43.7,46,0,No Failure,3844,1115.632569,0.773493022,-1.400118086,0,-1.55148145,1.29127788,-0.161971904,-0.479088755,-0.750328781,-0.711377533
448,L48373,L,297.1,308.2,1347,50.8,49,0,No Failure,3689,1259.103202,-1.18863079,-1.379296603,0,0.227615903,-1.386124942,-0.154801539,-0.853950924,-0.699343024,-0.498919433
449,L48374,M,297,308.1,1507,43.1,51,0,No Failure,1311,3651.9261,-0.203425937,0.153161622,0,0.025312256,0.695965294,-0.396629996,-0.483657934,-0.275207184,-0.345580109
450,L48375,M,297,308,1408,47.9,54,0,No Failure,2396,2529.66773,-1.262465705,-1.291564993,1,0.441044767,-0.74815657,-0.383277536,-0.711907123,-0.556307604,0.14723031
451,L48376,M,297,307.9,1493,34.7,57,0,No Failure,2805,2118.478527,-0.514414366,0.166174153,0,0.263235106,0.528432225,-0.557310199,-0.456962578,-0.309945151,0.184641411
452,L48377,M,296.9,307.9,1441,47.6,60,0,No Failure,1504,3475.811319,-1.100817824,-1.145189298,0,-0.931955591,-0.414270683,-0.368049243,-0.700278532,-0.347375702,0.208196548
453,L48378,H,296.9,307.9,1557,36.5,63,0,No Failure,3893,1065.809302,0.662834163,0.741382598,0,-0.652871295,1.245886039,0.047511134,-0.238089341,-0.204232318,0.043772453
454,L48379,M,296.9,307.9,1979,20.4,68,0,No Failure,857,4147.06136,-1.344671884,-1.25234048,0,0.927660019,-1.418184451,0.628384134,-0.273318817,-0.299082604,0.241450859
455,L48380,M,296.9,308,1430,55.9,71,0,No Failure,144,4775.652562,0.012257022,-0.059752728,0,-0.221569619,0.958563433,0.80369809,-0.316473514,0.213534758,-0.232884943
456,L48381,L,296.9,308,1658,41,74,0,No Failure,3036,1893.466519,-1.730994137,-0.0209786,1,1.547881265,-1.231506076,0.828402571,-0.085848821,0.446067648,-0.480906681
457,L48382,M,297,308.1,1355,51.4,76,0,No Failure,1023,3930.239166,1.210128129,-0.429472381,1,-0.131735975,2.077689902,0.556679398,0.17295312,0.285984918,-0.339575858
458,L48383,H,297,308.1,1410,47.6,79,0,No Failure,2543,2437.180218,0.486686783,0.267131169,1,-0.068307692,-0.511078769,0.506222058,-0.077403329,0.246370326,-0.242122251
459,L48384,L,296.9,308,1521,34.5,84,0,No Failure,2951,2032.336703,-1.560445369,1.310746331,1,-0.506441325,-1.446177639,-0.019974154,-0.087658338,0.281068223,-0.461046467
460,L48385,L,296.8,308,1371,54.5,86,0,No Failure,4663,262.4932836,1.16538049,1.102911722,1,-0.754141274,1.925597416,0.08231879,0.053832399,0.191043902,-0.316944452
461,L48386,H,296.9,308,1318,53.5,88,0,No Failure,3343,1599.542739,-0.436984435,-0.821392249,0,0.499680509,-1.131979392,-0.127074593,-0.004885991,0.30429008,0.300569635
462,L48387,M,297,308.1,1573,34.9,93,0,No Failure,3031,1957.410794,-0.041654114,-0.627545345,0,0.650684325,0.279258458,0.057768773,0.063360377,0.337761591,0.337057004
463,L48388,L,297,308.1,1489,44.1,96,0,No Failure,1177,3781.78641,0.435411737,0.440620658,1,-1.750572624,0.336999133,0.052476253,0.063748067,0.356982043,0.164781197
464,L48389,H,297,308.1,2540,13.3,98,0,No Failure,2921,2076.185001,-0.852991685,0.860624726,0,1.715965394,-0.910186624,0.019591207,-0.24242797,0.27600901,-0.109566871
465,L48390,L,297,308.1,1537,39,103,0,No Failure,480,4468.080545,0.871788541,1.669142611,1,-1.856298373,1.218425744,-0.100551815,-0.138882272,0.397978973,-0.194550111
466,L48391,H,296.9,308,1416,46.9,105,0,No Failure,2910,2085.631752,-0.095752595,-0.654034694,0,1.89374497,-0.683518916,0.218104028,-0.240956063,0.251779096,-0.217643383
467,L48392,L,296.9,307.9,1359,56.5,110,0,No Failure,4630,295.9360194,-0.039715662,-0.531443088,0,-0.021657057,0.039570411,-0.228579885,-0.366666785,0.643893868,-0.510927934
468,L48393,M,296.8,307.8,1551,38.9,112,0,No Failure,2269,2676.435885,-1.095468448,0.035755494,1,-1.84814283,-0.745834537,-0.683956594,-0.551957713,1.054341208,-0.146054241
469,L48394,M,296.8,307.8,1694,33,115,0,No Failure,4390,587.6454762,-0.335263197,1.470474541,0,1.407411604,0.53701815,-0.185012106,-0.588865775,1.23533856,-0.019041246
470,L48395,L,296.8,307.9,1709,28.4,118,0,No Failure,2056,2951.023,0.361419588,0.938143228,1,-0.304657369,0.492143783,-0.226093639,-0.296913821,0.659167466,0.119518384
471,L48396,L,296.9,308,1514,41,120,0,No Failure,3062,1870.404382,-0.724306207,1.306539166,1,-0.812580509,-0.76700846,0.105876184,-0.549790107,0.488998814,-0.344194512
472,L48397,L,297,308.1,1455,43.5,122,0,No Failure,1012,3951.26772,-0.966170302,1.520793612,0,-0.052395737,-0.170876707,0.667116182,-0.425254873,0.386011959,0.027607163
473,L48398,M,297,308.2,1702,30.7,124,0,No Failure,989,3958.85486,-1.280008757,0.940742254,1,1.526441787,-0.221721769,1.250365489,-0.425994464,0.328807598,0.066865725
474,L48399,M,296.9,308.1,1357,41.8,127,0,No Failure,606,4353.027318,1.124496573,-1.410380932,0,-0.502179748,1.69860599,0.798125963,0.128857649,-0.025162982,0.355069756
475,L48400,L,297,308.2,1577,29.4,130,0,No Failure,2660,2306.842729,-0.90296184,0.087299969,0,1.014493221,-1.43227946,1.054117786,-0.10253151,0.252399768,0.074255572
476,L48401,M,297,308.3,1399,46.4,132,0,Random Failures,3377,1538.202181,-0.101630041,0.791604893,0,-0.001855974,0.5660713,0.543997448,0.33809408,0.238391021,-0.024121766
477,L48402,L,297,308.3,1399,59,135,0,No Failure,1806,3144.727848,-0.969868256,1.234771805,1,0.025431593,-0.613368056,0.181984329,0.678794795,0.04326081,0.000818968
478,L48403,L,297,308.3,1492,48.1,137,0,No Failure,3062,1870.404382,1.494251808,-0.829110644,0,-2.13516051,1.740719805,0.019462207,0.823437733,-0.127280756,-0.486910932
479,L48404,L,297.1,308.3,1763,25.7,139,0,No Failure,4724,276.2290145,-0.032449223,-0.022567184,0,2.002204129,-1.078527919,0.078185468,0.410620731,0.070912941,-0.360359803
480,L48405,H,297.1,308.3,1492,41.5,141,0,No Failure,118,4841.729779,1.300166112,0.017256237,1,-1.694563569,0.941387523,-0.178760474,0.429876879,0.1176435,-0.338190262
481,L48406,L,297.1,308.4,1488,42.5,146,0,No Failure,2765,2191.817548,1.601873532,-0.184046165,1,0.52186743,0.213120151,-0.219348002,0.368724898,0.094838505,-0.19270265
482,L48407,L,297.1,308.4,1422,42.1,148,0,No Failure,4973,-7.710351804,-0.246653566,0.382063979,1,0.730853676,-1.305876474,-0.463535658,-0.246003391,0.337169709,-0.210253536
483,L48408,M,297.1,308.4,1583,38.2,150,0,No Failure,4887,47.0902553,-0.569833202,0.161857838,0,-1.352812518,-0.228320688,-0.906244892,-0.192315085,0.230652188,-0.07123204
484,L48409,L,297.1,308.4,1304,53.5,153,0,No Failure,898,4009.781619,0.063831516,0.211085614,1,0.885963136,0.447625741,-0.799846429,0.143502227,-0.014709221,-0.020426842
485,L48410,M,297.1,308.4,1880,23.5,155,0,No Failure,111,4852.911684,0.994406208,-0.096768743,1,-0.929496443,0.657372745,-1.187848981,0.015897069,0.213220871,0.408184281
486,L48411,M,297.2,308.5,1604,40.7,158,0,No Failure,4965,-15.82788915,-1.47176791,1.027609855,1,-0.198084994,-1.742202712,-1.022717822,-0.112660915,0.50720462,0.442824189
487,L48412,L,297.2,308.6,1500,37.1,161,0,No Failure,1566,3383.767809,0.021787962,-0.150523622,1,0.02885956,1.05508123,-0.636232147,0.219601966,0.283129807,-0.094325312
488,L48413,M,297.2,308.5,1364,55.6,163,0,No Failure,2450,2520.900453,1.109253357,-1.064949207,0,0.588892639,0.768205515,-0.439259533,-0.081211057,0.288900793,0.239603397
489,L48414,H,297.2,308.5,2440,14,166,0,No Failure,2258,2702.609571,-0.574194269,1.350736072,0,-0.862293184,-1.189258887,-0.627054535,-0.219943486,0.651652508,0.063170801
490,L48415,H,297.1,308.4,1654,31.4,171,0,No Failure,2951,2032.336703,0.351616286,1.373150002,1,1.026445143,0.654007201,-0.586963592,0.164783172,0.361613689,0.052086031
491,L48416,H,297.1,308.4,1359,46.6,176,0,No Failure,2195,2796.524026,0.189546494,-0.092764209,1,0.584648898,-0.114507378,-0.688332421,0.232597237,-0.074636509,0.296412846
492,L48417,M,297.1,308.4,1502,37.3,181,0,No Failure,4571,414.6268428,-1.482277151,-0.121668696,1,-0.641279449,-1.181047323,-1.030207436,-0.006533886,-0.100146821,0.489934463
493,L48418,M,297.1,308.4,1615,32.6,184,0,No Failure,4527,449.3528013,0.415591211,0.74880937,1,-0.771687935,1.340700916,-0.640995938,0.406617392,-0.216576813,-0.053681154
494,L48419,H,297.2,308.5,1482,39.3,187,0,No Failure,3064,1910.741542,1.349439023,-0.099458022,0,-0.056463435,0.659684985,-0.595791837,0.139048932,-0.407907863,0.052547896
495,L48420,L,297.2,308.6,1636,31.3,192,0,No Failure,2077,2909.78629,0.690686608,-0.808100987,1,0.526227842,-0.465380373,-0.082670552,-0.42295593,-0.290163166,-0.359897937
496,L48421,M,297.1,308.5,1621,32.4,194,0,No Failure,898,4009.781619,-1.006109122,-0.22031577,0,-0.265807402,-1.198688428,0.130095442,-0.546948672,-0.21577814,-0.695212243
497,L48422,L,297.1,308.4,1468,44.4,197,0,No Failure,1882,3066.724882,0.583479241,-0.703818658,1,1.943922794,1.12292175,0.406404802,-0.198118548,0.009122927,-0.361283533
498,L48423,M,297.1,308.4,1432,53.4,199,0,No Failure,3594,1355.503847,-0.92225109,-0.207845876,1,-1.98813589,-1.063713524,0.093454441,-0.305904716,-0.120487575,0.009594411
499,L48424,L,297.1,308.4,1726,28.4,202,0,No Failure,3033,1874.516932,-1.460585285,0.489265463,1,1.598143147,-0.38031297,0.660293227,-0.342499211,0.262025429,-0.50122876
500,L48425,M,297.1,308.4,1588,33.4,204,0,No Failure,1442,3482.671672,0.070722894,-0.436175857,0,-0.535861474,1.081750706,0.355215838,-0.247123513,0.491339775,-0.496610106
501,L48426,H,297.2,308.5,1653,33.3,207,0,No Failure,4039,944.9036868,0.738041502,0.904189561,1,-0.041111079,0.471399959,0.494628287,-0.592955,0.453759103,-0.089706658
502,L48427,L,297.2,308.5,1513,42.9,212,0,No Failure,1981,2996.65129,0.044548398,-1.351871167,1,-0.139764326,-0.489922343,0.484961801,-0.792226728,-0.004996203,-0.534944937
503,L48428,L,297.2,308.6,1489,40.2,214,0,No Failure,3999,936.1534698,-1.105223563,1.704719144,1,1.122895207,-0.812252785,0.404518095,-1.059852894,0.518436355,-0.844856644
504,L48429,L,297.3,308.7,1467,36.8,216,0,No Failure,4096,866.3694667,-0.983706798,1.635837195,0,-1.485048256,0.085827525,0.393259737,-0.497555261,-0.163952622,-0.20886794
505,L48430,L,297.3,308.7,1549,36.1,218,0,No Failure,3729,1246.40859,-1.65843454,-0.624079218,0,1.035903431,-0.476665872,0.555236636,-0.543435903,-0.271550301,0.173094775
506,L48431,M,297.4,308.8,1359,48.7,220,0,No Failure,1309,3644.484449,-0.258317137,-1.389586967,1,-0.56827057,0.989073212,0.09308028,-0.071997995,-0.336937004,-0.199168766
507,L48432,L,297.5,308.8,1533,41.5,223,0,No Failure,1007,3960.30151,-1.293582434,1.265291619,0,-0.390040356,-0.731361498,-0.002083275,0.179500273,0.063777411,0.261772938
508,L48433,L,297.5,308.8,1309,57.3,0,0,No Failure,579,4373.518716,1.706264605,-1.70722574,1,1.367542199,2.11917502,0.264536555,0.103350356,-0.501149226,0.455294556
509,L48434,H,297.5,308.8,1430,49.4,2,0,No Failure,4571,414.6268428,-1.213110011,1.097848802,0,-0.87246935,-2.0623585,0.083736446,-0.119967313,-0.244539345,-0.011189534
510,L48435,H,297.5,308.9,1419,50.7,7,0,No Failure,1867,3066.162764,0.698755003,-0.951012735,1,-1.171100343,1.350588612,0.303433368,-0.065746404,-0.803601883,0.082107284
511,L48436,M,297.5,308.9,1535,37.7,12,0,No Failure,1984,2998.89153,0.999174203,0.61398511,0,0.729456298,0.212210109,0.400465957,-0.437788843,-0.309522191,0.324124772
512,L48437,L,297.5,308.9,1466,43,15,0,No Failure,1024,3924.066926,-1.674332022,-1.559341568,0,0.889265454,-1.888668954,0.635796196,-0.393075488,-0.147419618,-0.062918462
513,L48438,L,297.5,308.9,1427,50.4,17,0,No Failure,4081,864.3871827,0.589676262,-0.424176333,1,-0.214583873,1.599354239,0.413555571,0.13855701,0.113063018,0.344446851
514,L48439,M,297.5,308.9,1280,48.5,19,0,No Failure,424,4481.541073,-0.942005468,-1.697463887,0,0.543732164,-1.082046449,0.330562589,-0.320089322,0.205041401,0.521803178
515,L48440,L,297.6,309,1528,33.8,22,0,No Failure,1475,3453.994851,-1.161457191,1.519385724,0,-1.604854908,-0.155043867,0.35730163,-0.008642703,0.562792718,0.399408838
516,L48441,H,297.6,309,1885,25.2,24,0,No Failure,2760,2219.798601,1.222740981,1.424497974,0,1.218491987,1.684260343,0.854627613,0.01451447,0.574016597,0.50748535
517,L48442,H,297.8,309.2,1648,33,29,0,No Failure,1053,3893.804799,0.983830468,-0.256928386,1,-0.7287554,-0.168790199,0.926056283,-0.139051649,0.485036774,0.434972476
518,L48443,L,297.8,309.2,1400,56.9,34,0,No Failure,4450,519.6238898,-1.703555399,0.035715579,1,0.277811094,-1.898473992,0.856436954,-0.100513616,0.609224641,0.320429849
519,L48444,M,297.8,309.3,2243,15.7,36,0,No Failure,2199,2759.174376,0.615227624,0.091292697,1,0.931756652,1.638048923,1.073416702,0.24294825,0.771300772,0.148154041
520,L48445,L,297.9,309.4,1558,35.7,39,0,No Failure,4825,160.7122358,-1.045671326,1.575505119,1,0.059192233,-1.173329758,0.854816008,0.442190775,0.521264621,0.148154041
521,L48446,L,298,309.6,1633,34.8,41,0,No Failure,2770,2177.662856,0.454910386,0.979598859,1,-0.287527712,1.060044515,0.475356959,0.694382574,0.216844637,0.08349288
522,L48447,M,298.1,309.6,1549,38.7,43,0,No Failure,2945,2061.512084,1.176520634,0.364010952,1,-1.227516625,0.509753366,-0.095153821,0.761248095,-0.006613311,0.458065748
523,L48448,L,298,309.5,1496,45.8,46,0,No Failure,3829,1099.36555,0.013753932,0.846096233,0,1.291256926,-0.821432699,0.188793779,0.353201357,-0.228459406,0.037306337
